0:0:0:0:0:0:0:1 - - [14/May/2019:15:23:34 +0530] "GET /images/rausch.png HTTP/1.1" 404 1053
0:0:0:0:0:0:0:1 - - [14/May/2019:15:23:34 +0530] "GET /images/bg/caption1.png HTTP/1.1" 404 1058
0:0:0:0:0:0:0:1 - - [14/May/2019:15:23:34 +0530] "GET /images/bg/lightpaperfibers.png HTTP/1.1" 404 1066
0:0:0:0:0:0:0:1 - - [14/May/2019:15:27:07 +0530] "GET /EEWQ/University.jsp HTTP/1.1" 200 7356
0:0:0:0:0:0:0:1 - - [14/May/2019:15:27:07 +0530] "GET /images/rausch.png HTTP/1.1" 404 1053
0:0:0:0:0:0:0:1 - - [14/May/2019:15:27:07 +0530] "GET /images/bg/caption1.png HTTP/1.1" 404 1058
0:0:0:0:0:0:0:1 - - [14/May/2019:15:27:07 +0530] "GET /images/bg/lightpaperfibers.png HTTP/1.1" 404 1066
0:0:0:0:0:0:0:1 - - [14/May/2019:15:27:52 +0530] "GET /EEWQ/University.jsp HTTP/1.1" 200 7356
0:0:0:0:0:0:0:1 - - [14/May/2019:15:27:52 +0530] "GET /images/rausch.png HTTP/1.1" 404 1053
0:0:0:0:0:0:0:1 - - [14/May/2019:15:27:52 +0530] "GET /images/bg/caption1.png HTTP/1.1" 404 1058
0:0:0:0:0:0:0:1 - - [14/May/2019:15:27:52 +0530] "GET /images/bg/lightpaperfibers.png HTTP/1.1" 404 1066
0:0:0:0:0:0:0:1 - - [14/May/2019:15:29:06 +0530] "GET /EEWQ/University.jsp HTTP/1.1" 200 7356
0:0:0:0:0:0:0:1 - - [14/May/2019:15:29:06 +0530] "GET /images/rausch.png HTTP/1.1" 404 1053
0:0:0:0:0:0:0:1 - - [14/May/2019:15:29:06 +0530] "GET /images/bg/lightpaperfibers.png HTTP/1.1" 404 1066
0:0:0:0:0:0:0:1 - - [14/May/2019:15:29:06 +0530] "GET /images/bg/caption1.png HTTP/1.1" 404 1058
0:0:0:0:0:0:0:1 - - [14/May/2019:15:29:06 +0530] "GET /EEWQ/IITS.jpg HTTP/1.1" 200 57879
0:0:0:0:0:0:0:1 - - [14/May/2019:15:29:42 +0530] "GET /EEWQ/Ureg.jsp HTTP/1.1" 200 8485
0:0:0:0:0:0:0:1 - - [14/May/2019:15:29:43 +0530] "GET /images/rausch.png HTTP/1.1" 404 1053
0:0:0:0:0:0:0:1 - - [14/May/2019:15:29:43 +0530] "GET /images/bg/lightpaperfibers.png HTTP/1.1" 404 1066
0:0:0:0:0:0:0:1 - - [14/May/2019:15:29:43 +0530] "GET /images/bg/caption2.png HTTP/1.1" 404 1058
0:0:0:0:0:0:0:1 - - [14/May/2019:15:29:43 +0530] "GET /images/bg/caption.png HTTP/1.1" 404 1057
0:0:0:0:0:0:0:1 - - [14/May/2019:15:29:48 +0530] "GET /images/rausch.png HTTP/1.1" 404 1053
0:0:0:0:0:0:0:1 - - [14/May/2019:15:29:48 +0530] "GET /images/bg/lightpaperfibers.png HTTP/1.1" 404 1066
0:0:0:0:0:0:0:1 - - [14/May/2019:15:29:48 +0530] "GET /images/bg/caption1.png HTTP/1.1" 404 1058
0:0:0:0:0:0:0:1 - - [14/May/2019:15:29:50 +0530] "GET /EEWQ/Ureg2.jsp HTTP/1.1" 200 8712
0:0:0:0:0:0:0:1 - - [14/May/2019:15:29:51 +0530] "GET /images/rausch.png HTTP/1.1" 404 1053
0:0:0:0:0:0:0:1 - - [14/May/2019:15:29:51 +0530] "GET /images/bg/lightpaperfibers.png HTTP/1.1" 404 1066
0:0:0:0:0:0:0:1 - - [14/May/2019:15:29:51 +0530] "GET /images/bg/caption.png HTTP/1.1" 404 1057
0:0:0:0:0:0:0:1 - - [14/May/2019:15:29:51 +0530] "GET /images/bg/caption2.png HTTP/1.1" 404 1058
0:0:0:0:0:0:0:1 - - [14/May/2019:15:29:54 +0530] "GET /images/rausch.png HTTP/1.1" 404 1053
0:0:0:0:0:0:0:1 - - [14/May/2019:15:29:54 +0530] "GET /images/bg/lightpaperfibers.png HTTP/1.1" 404 1066
0:0:0:0:0:0:0:1 - - [14/May/2019:15:29:54 +0530] "GET /images/bg/caption1.png HTTP/1.1" 404 1058
0:0:0:0:0:0:0:1 - - [14/May/2019:15:30:53 +0530] "GET /EEWQ/Industry.jsp HTTP/1.1" 200 7357
0:0:0:0:0:0:0:1 - - [14/May/2019:15:30:54 +0530] "GET /images/bg/caption1.png HTTP/1.1" 404 1058
0:0:0:0:0:0:0:1 - - [14/May/2019:15:30:54 +0530] "GET /images/bg/lightpaperfibers.png HTTP/1.1" 404 1066
0:0:0:0:0:0:0:1 - - [14/May/2019:15:30:54 +0530] "GET /images/rausch.png HTTP/1.1" 404 1053
0:0:0:0:0:0:0:1 - - [14/May/2019:15:31:39 +0530] "GET /EEWQ/Universities.jsp HTTP/1.1" 200 8866
0:0:0:0:0:0:0:1 - - [14/May/2019:15:31:39 +0530] "GET /EEWQ/js/jquery-1.8.0.min.js HTTP/1.1" 404 1063
0:0:0:0:0:0:0:1 - - [14/May/2019:15:31:39 +0530] "GET /EEWQ/js/screen.js HTTP/1.1" 404 1053
0:0:0:0:0:0:0:1 - - [14/May/2019:15:31:39 +0530] "GET /EEWQ/js/tabs.js HTTP/1.1" 404 1051
0:0:0:0:0:0:0:1 - - [14/May/2019:15:31:39 +0530] "GET /EEWQ/js/superfish.js HTTP/1.1" 404 1056
0:0:0:0:0:0:0:1 - - [14/May/2019:15:31:39 +0530] "GET /EEWQ/js/jquery.prettyPhoto.js HTTP/1.1" 404 1065
0:0:0:0:0:0:0:1 - - [14/May/2019:15:31:39 +0530] "GET /EEWQ/js/hoverIntent.js HTTP/1.1" 404 1058
0:0:0:0:0:0:0:1 - - [14/May/2019:15:31:39 +0530] "GET /EEWQ/js/modernizr.custom.29473.js HTTP/1.1" 404 1069
0:0:0:0:0:0:0:1 - - [14/May/2019:15:31:39 +0530] "GET /EEWQ/js/jquery.flexslider-min.js HTTP/1.1" 404 1068
0:0:0:0:0:0:0:1 - - [14/May/2019:15:31:39 +0530] "GET /images/bg/lightpaperfibers.png HTTP/1.1" 404 1066
0:0:0:0:0:0:0:1 - - [14/May/2019:15:31:39 +0530] "GET /images/rausch.png HTTP/1.1" 404 1053
0:0:0:0:0:0:0:1 - - [14/May/2019:15:31:39 +0530] "GET /images/bg/caption.png HTTP/1.1" 404 1057
0:0:0:0:0:0:0:1 - - [14/May/2019:15:31:39 +0530] "GET /images/bg/caption2.png HTTP/1.1" 404 1058
0:0:0:0:0:0:0:1 - - [14/May/2019:15:32:01 +0530] "GET /EEWQ/Industry.jsp HTTP/1.1" 200 7357
0:0:0:0:0:0:0:1 - - [14/May/2019:15:32:02 +0530] "GET /images/rausch.png HTTP/1.1" 404 1053
0:0:0:0:0:0:0:1 - - [14/May/2019:15:32:02 +0530] "GET /images/bg/caption1.png HTTP/1.1" 404 1058
0:0:0:0:0:0:0:1 - - [14/May/2019:15:32:02 +0530] "GET /images/bg/lightpaperfibers.png HTTP/1.1" 404 1066
192.168.1.2 - - [14/May/2019:19:41:34 +0530] "GET / HTTP/1.1" 404 1036
192.168.1.2 - - [14/May/2019:19:41:37 +0530] "GET /HNAP1/ HTTP/1.1" 404 1042
