127.0.0.1 - - [20/May/2019:08:20:39 +0530] "GET / HTTP/1.1" 404 1036
0:0:0:0:0:0:0:1 - - [20/May/2019:08:20:44 +0530] "GET /EEWQ/Universities.jsp HTTP/1.1" 200 8866
0:0:0:0:0:0:0:1 - - [20/May/2019:08:20:45 +0530] "GET /EEWQ/base.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/May/2019:08:20:45 +0530] "GET /EEWQ/skeleton.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/May/2019:08:20:45 +0530] "GET /EEWQ/prettyPhoto.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/May/2019:08:20:45 +0530] "GET /EEWQ/screen.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/May/2019:08:20:45 +0530] "GET /EEWQ/NSBM.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/May/2019:08:20:45 +0530] "GET /EEWQ/js/jquery-1.8.0.min.js HTTP/1.1" 404 1063
0:0:0:0:0:0:0:1 - - [20/May/2019:08:20:45 +0530] "GET /EEWQ/js/screen.js HTTP/1.1" 404 1053
0:0:0:0:0:0:0:1 - - [20/May/2019:08:20:45 +0530] "GET /EEWQ/js/tabs.js HTTP/1.1" 404 1051
0:0:0:0:0:0:0:1 - - [20/May/2019:08:20:45 +0530] "GET /EEWQ/js/jquery.prettyPhoto.js HTTP/1.1" 404 1065
0:0:0:0:0:0:0:1 - - [20/May/2019:08:20:45 +0530] "GET /EEWQ/js/superfish.js HTTP/1.1" 404 1056
0:0:0:0:0:0:0:1 - - [20/May/2019:08:20:45 +0530] "GET /EEWQ/js/hoverIntent.js HTTP/1.1" 404 1058
0:0:0:0:0:0:0:1 - - [20/May/2019:08:20:45 +0530] "GET /EEWQ/js/jquery.flexslider-min.js HTTP/1.1" 404 1068
0:0:0:0:0:0:0:1 - - [20/May/2019:08:20:45 +0530] "GET /EEWQ/js/modernizr.custom.29473.js HTTP/1.1" 404 1069
0:0:0:0:0:0:0:1 - - [20/May/2019:08:20:45 +0530] "GET /images/bg/lightpaperfibers.png HTTP/1.1" 404 1066
0:0:0:0:0:0:0:1 - - [20/May/2019:08:20:45 +0530] "GET /images/rausch.png HTTP/1.1" 404 1053
0:0:0:0:0:0:0:1 - - [20/May/2019:08:20:46 +0530] "GET /images/bg/caption.png HTTP/1.1" 404 1057
0:0:0:0:0:0:0:1 - - [20/May/2019:08:20:46 +0530] "GET /images/bg/caption2.png HTTP/1.1" 404 1058
0:0:0:0:0:0:0:1 - - [20/May/2019:08:21:20 +0530] "GET /EEWQ/UnivIdea.jsp HTTP/1.1" 200 8866
0:0:0:0:0:0:0:1 - - [20/May/2019:08:21:20 +0530] "GET /EEWQ/js/jquery-1.8.0.min.js HTTP/1.1" 404 1063
0:0:0:0:0:0:0:1 - - [20/May/2019:08:21:20 +0530] "GET /EEWQ/js/tabs.js HTTP/1.1" 404 1051
0:0:0:0:0:0:0:1 - - [20/May/2019:08:21:20 +0530] "GET /EEWQ/js/jquery.prettyPhoto.js HTTP/1.1" 404 1065
0:0:0:0:0:0:0:1 - - [20/May/2019:08:21:20 +0530] "GET /EEWQ/js/screen.js HTTP/1.1" 404 1053
0:0:0:0:0:0:0:1 - - [20/May/2019:08:21:20 +0530] "GET /EEWQ/js/superfish.js HTTP/1.1" 404 1056
0:0:0:0:0:0:0:1 - - [20/May/2019:08:21:20 +0530] "GET /images/rausch.png HTTP/1.1" 404 1053
0:0:0:0:0:0:0:1 - - [20/May/2019:08:21:20 +0530] "GET /EEWQ/js/hoverIntent.js HTTP/1.1" 404 1058
0:0:0:0:0:0:0:1 - - [20/May/2019:08:21:20 +0530] "GET /EEWQ/js/jquery.flexslider-min.js HTTP/1.1" 404 1068
0:0:0:0:0:0:0:1 - - [20/May/2019:08:21:20 +0530] "GET /EEWQ/js/modernizr.custom.29473.js HTTP/1.1" 404 1069
0:0:0:0:0:0:0:1 - - [20/May/2019:08:21:20 +0530] "GET /images/bg/caption.png HTTP/1.1" 404 1057
0:0:0:0:0:0:0:1 - - [20/May/2019:08:21:20 +0530] "GET /images/bg/caption2.png HTTP/1.1" 404 1058
0:0:0:0:0:0:0:1 - - [20/May/2019:08:21:20 +0530] "GET /images/bg/lightpaperfibers.png HTTP/1.1" 404 1066
0:0:0:0:0:0:0:1 - - [20/May/2019:08:21:38 +0530] "GET /EEWQ/Industry.jsp HTTP/1.1" 200 7372
0:0:0:0:0:0:0:1 - - [20/May/2019:08:21:38 +0530] "GET /EEWQ/screen.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/May/2019:08:21:38 +0530] "GET /EEWQ/jquery-1.8.0.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/May/2019:08:21:38 +0530] "GET /EEWQ/tabs.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/May/2019:08:21:39 +0530] "GET /EEWQ/superfish.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/May/2019:08:21:39 +0530] "GET /EEWQ/jquery.prettyPhoto.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/May/2019:08:21:39 +0530] "GET /EEWQ/hoverIntent.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/May/2019:08:21:39 +0530] "GET /EEWQ/jquery.flexslider-min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/May/2019:08:21:39 +0530] "GET /EEWQ/modernizr.custom.29473.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/May/2019:08:21:39 +0530] "GET /images/bg/caption1.png HTTP/1.1" 404 1058
0:0:0:0:0:0:0:1 - - [20/May/2019:08:21:39 +0530] "GET /images/rausch.png HTTP/1.1" 404 1053
0:0:0:0:0:0:0:1 - - [20/May/2019:08:21:39 +0530] "GET /images/bg/lightpaperfibers.png HTTP/1.1" 404 1066
0:0:0:0:0:0:0:1 - - [20/May/2019:08:21:44 +0530] "GET /EEWQ/Universities.jsp HTTP/1.1" 200 8866
0:0:0:0:0:0:0:1 - - [20/May/2019:08:21:44 +0530] "GET /EEWQ/js/jquery-1.8.0.min.js HTTP/1.1" 404 1063
0:0:0:0:0:0:0:1 - - [20/May/2019:08:21:44 +0530] "GET /EEWQ/js/screen.js HTTP/1.1" 404 1053
0:0:0:0:0:0:0:1 - - [20/May/2019:08:21:44 +0530] "GET /EEWQ/js/jquery.prettyPhoto.js HTTP/1.1" 404 1065
0:0:0:0:0:0:0:1 - - [20/May/2019:08:21:44 +0530] "GET /EEWQ/js/tabs.js HTTP/1.1" 404 1051
0:0:0:0:0:0:0:1 - - [20/May/2019:08:21:44 +0530] "GET /EEWQ/js/hoverIntent.js HTTP/1.1" 404 1058
0:0:0:0:0:0:0:1 - - [20/May/2019:08:21:44 +0530] "GET /images/bg/lightpaperfibers.png HTTP/1.1" 404 1066
0:0:0:0:0:0:0:1 - - [20/May/2019:08:21:44 +0530] "GET /images/rausch.png HTTP/1.1" 404 1053
0:0:0:0:0:0:0:1 - - [20/May/2019:08:21:44 +0530] "GET /EEWQ/js/superfish.js HTTP/1.1" 404 1056
0:0:0:0:0:0:0:1 - - [20/May/2019:08:21:44 +0530] "GET /images/bg/caption.png HTTP/1.1" 404 1057
0:0:0:0:0:0:0:1 - - [20/May/2019:08:21:44 +0530] "GET /images/bg/caption2.png HTTP/1.1" 404 1058
0:0:0:0:0:0:0:1 - - [20/May/2019:08:21:44 +0530] "GET /EEWQ/js/jquery.flexslider-min.js HTTP/1.1" 404 1068
0:0:0:0:0:0:0:1 - - [20/May/2019:08:21:44 +0530] "GET /EEWQ/js/modernizr.custom.29473.js HTTP/1.1" 404 1069
0:0:0:0:0:0:0:1 - - [20/May/2019:08:22:24 +0530] "GET /EEWQ/Idea.jsp HTTP/1.1" 200 5589
0:0:0:0:0:0:0:1 - - [20/May/2019:08:22:25 +0530] "GET /images/bg/lightpaperfibers.png HTTP/1.1" 404 1066
0:0:0:0:0:0:0:1 - - [20/May/2019:08:23:29 +0530] "GET /EEWQ/WSO2Idea.jsp HTTP/1.1" 200 5589
0:0:0:0:0:0:0:1 - - [20/May/2019:08:23:29 +0530] "GET /images/bg/lightpaperfibers.png HTTP/1.1" 404 1066
0:0:0:0:0:0:0:1 - - [20/May/2019:08:26:45 +0530] "GET /EEWQ/Industry.jsp HTTP/1.1" 200 7368
0:0:0:0:0:0:0:1 - - [20/May/2019:08:26:45 +0530] "GET /images/bg/caption1.png HTTP/1.1" 404 1058
0:0:0:0:0:0:0:1 - - [20/May/2019:08:26:45 +0530] "GET /images/rausch.png HTTP/1.1" 404 1053
0:0:0:0:0:0:0:1 - - [20/May/2019:08:26:45 +0530] "GET /images/bg/lightpaperfibers.png HTTP/1.1" 404 1066
0:0:0:0:0:0:0:1 - - [20/May/2019:08:26:49 +0530] "GET /EEWQ/Universities.jsp HTTP/1.1" 200 8866
0:0:0:0:0:0:0:1 - - [20/May/2019:08:26:50 +0530] "GET /EEWQ/js/jquery-1.8.0.min.js HTTP/1.1" 404 1063
0:0:0:0:0:0:0:1 - - [20/May/2019:08:26:50 +0530] "GET /EEWQ/js/screen.js HTTP/1.1" 404 1053
0:0:0:0:0:0:0:1 - - [20/May/2019:08:26:50 +0530] "GET /EEWQ/js/tabs.js HTTP/1.1" 404 1051
0:0:0:0:0:0:0:1 - - [20/May/2019:08:26:50 +0530] "GET /EEWQ/js/superfish.js HTTP/1.1" 404 1056
