127.0.0.1 - - [05/Apr/2019:11:42:15 +0530] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [05/Apr/2019:11:42:19 +0530] "GET /EEWQ/Industry.jsp HTTP/1.1" 200 8112
0:0:0:0:0:0:0:1 - - [05/Apr/2019:11:42:19 +0530] "GET /EEWQ/base.css HTTP/1.1" 200 5532
0:0:0:0:0:0:0:1 - - [05/Apr/2019:11:42:19 +0530] "GET /EEWQ/skeleton.css HTTP/1.1" 200 7841
0:0:0:0:0:0:0:1 - - [05/Apr/2019:11:42:19 +0530] "GET /EEWQ/prettyPhoto.css HTTP/1.1" 200 19698
0:0:0:0:0:0:0:1 - - [05/Apr/2019:11:42:19 +0530] "GET /EEWQ/screen.css HTTP/1.1" 200 31962
0:0:0:0:0:0:0:1 - - [05/Apr/2019:11:42:19 +0530] "GET /EEWQ/images/logo.png HTTP/1.1" 404 991
0:0:0:0:0:0:0:1 - - [05/Apr/2019:11:42:19 +0530] "GET /EEWQ/syd6.jpg HTTP/1.1" 404 977
0:0:0:0:0:0:0:1 - - [05/Apr/2019:11:42:19 +0530] "GET /EEWQ/images/socials/facebook.png HTTP/1.1" 404 1015
0:0:0:0:0:0:0:1 - - [05/Apr/2019:11:42:19 +0530] "GET /EEWQ/images/socials/twitter.png HTTP/1.1" 404 1013
0:0:0:0:0:0:0:1 - - [05/Apr/2019:11:42:19 +0530] "GET /EEWQ/images/socials/dribbble.png HTTP/1.1" 404 1015
0:0:0:0:0:0:0:1 - - [05/Apr/2019:11:42:19 +0530] "GET /EEWQ/images/socials/google+.png HTTP/1.1" 404 1013
0:0:0:0:0:0:0:1 - - [05/Apr/2019:11:42:19 +0530] "GET /EEWQ/js/jquery-1.8.0.min.js HTTP/1.1" 404 1005
0:0:0:0:0:0:0:1 - - [05/Apr/2019:11:42:19 +0530] "GET /EEWQ/js/screen.js HTTP/1.1" 404 985
0:0:0:0:0:0:0:1 - - [05/Apr/2019:11:42:19 +0530] "GET /EEWQ/js/jquery.prettyPhoto.js HTTP/1.1" 404 1009
0:0:0:0:0:0:0:1 - - [05/Apr/2019:11:42:19 +0530] "GET /EEWQ/js/tabs.js HTTP/1.1" 404 981
0:0:0:0:0:0:0:1 - - [05/Apr/2019:11:42:19 +0530] "GET /EEWQ/js/superfish.js HTTP/1.1" 404 991
0:0:0:0:0:0:0:1 - - [05/Apr/2019:11:42:19 +0530] "GET /EEWQ/js/hoverIntent.js HTTP/1.1" 404 995
0:0:0:0:0:0:0:1 - - [05/Apr/2019:11:42:19 +0530] "GET /EEWQ/js/jquery.flexslider-min.js HTTP/1.1" 404 1015
0:0:0:0:0:0:0:1 - - [05/Apr/2019:11:42:19 +0530] "GET /EEWQ/js/modernizr.custom.29473.js HTTP/1.1" 404 1017
0:0:0:0:0:0:0:1 - - [05/Apr/2019:11:42:19 +0530] "GET /EEWQ/images/socials/youtube.png HTTP/1.1" 404 1013
0:0:0:0:0:0:0:1 - - [05/Apr/2019:11:42:19 +0530] "GET /EEWQ/images/socials/linkedin.png HTTP/1.1" 404 1015
0:0:0:0:0:0:0:1 - - [05/Apr/2019:11:42:19 +0530] "GET /images/navselect.gif HTTP/1.1" 404 991
0:0:0:0:0:0:0:1 - - [05/Apr/2019:11:42:19 +0530] "GET /images/rausch.png HTTP/1.1" 404 985
0:0:0:0:0:0:0:1 - - [05/Apr/2019:11:42:19 +0530] "GET /images/bg/caption1.png HTTP/1.1" 404 995
0:0:0:0:0:0:0:1 - - [05/Apr/2019:11:42:19 +0530] "GET /images/bg/lightpaperfibers.png HTTP/1.1" 404 1011
0:0:0:0:0:0:0:1 - - [05/Apr/2019:11:42:28 +0530] "GET /EEWQ/features.html HTTP/1.1" 404 987
0:0:0:0:0:0:0:1 - - [05/Apr/2019:11:42:30 +0530] "GET /EEWQ/images/logo.png HTTP/1.1" 404 991
0:0:0:0:0:0:0:1 - - [05/Apr/2019:11:42:30 +0530] "GET /EEWQ/syd6.jpg HTTP/1.1" 404 977
0:0:0:0:0:0:0:1 - - [05/Apr/2019:11:42:30 +0530] "GET /EEWQ/images/socials/twitter.png HTTP/1.1" 404 1013
0:0:0:0:0:0:0:1 - - [05/Apr/2019:11:42:30 +0530] "GET /EEWQ/images/socials/facebook.png HTTP/1.1" 404 1015
0:0:0:0:0:0:0:1 - - [05/Apr/2019:11:42:30 +0530] "GET /EEWQ/js/jquery-1.8.0.min.js HTTP/1.1" 404 1005
0:0:0:0:0:0:0:1 - - [05/Apr/2019:11:42:30 +0530] "GET /EEWQ/images/socials/dribbble.png HTTP/1.1" 404 1015
0:0:0:0:0:0:0:1 - - [05/Apr/2019:11:42:30 +0530] "GET /EEWQ/js/screen.js HTTP/1.1" 404 985
0:0:0:0:0:0:0:1 - - [05/Apr/2019:11:42:30 +0530] "GET /EEWQ/js/tabs.js HTTP/1.1" 404 981
0:0:0:0:0:0:0:1 - - [05/Apr/2019:11:42:30 +0530] "GET /EEWQ/js/superfish.js HTTP/1.1" 404 991
0:0:0:0:0:0:0:1 - - [05/Apr/2019:11:42:30 +0530] "GET /EEWQ/js/jquery.prettyPhoto.js HTTP/1.1" 404 1009
0:0:0:0:0:0:0:1 - - [05/Apr/2019:11:42:30 +0530] "GET /EEWQ/js/hoverIntent.js HTTP/1.1" 404 995
0:0:0:0:0:0:0:1 - - [05/Apr/2019:11:42:30 +0530] "GET /EEWQ/js/jquery.flexslider-min.js HTTP/1.1" 404 1015
0:0:0:0:0:0:0:1 - - [05/Apr/2019:11:42:30 +0530] "GET /EEWQ/js/modernizr.custom.29473.js HTTP/1.1" 404 1017
0:0:0:0:0:0:0:1 - - [05/Apr/2019:11:42:30 +0530] "GET /EEWQ/images/socials/google+.png HTTP/1.1" 404 1013
0:0:0:0:0:0:0:1 - - [05/Apr/2019:11:42:30 +0530] "GET /EEWQ/images/socials/linkedin.png HTTP/1.1" 404 1015
0:0:0:0:0:0:0:1 - - [05/Apr/2019:11:42:30 +0530] "GET /EEWQ/images/socials/youtube.png HTTP/1.1" 404 1013
0:0:0:0:0:0:0:1 - - [05/Apr/2019:11:42:30 +0530] "GET /EEWQ/images/logo.png HTTP/1.1" 404 991
0:0:0:0:0:0:0:1 - - [05/Apr/2019:11:42:30 +0530] "GET /EEWQ/syd6.jpg HTTP/1.1" 404 977
0:0:0:0:0:0:0:1 - - [05/Apr/2019:11:42:30 +0530] "GET /EEWQ/images/socials/facebook.png HTTP/1.1" 404 1015
0:0:0:0:0:0:0:1 - - [05/Apr/2019:11:42:30 +0530] "GET /EEWQ/images/socials/twitter.png HTTP/1.1" 404 1013
0:0:0:0:0:0:0:1 - - [05/Apr/2019:11:42:30 +0530] "GET /EEWQ/js/jquery.prettyPhoto.js HTTP/1.1" 404 1009
0:0:0:0:0:0:0:1 - - [05/Apr/2019:11:42:30 +0530] "GET /EEWQ/js/tabs.js HTTP/1.1" 404 981
0:0:0:0:0:0:0:1 - - [05/Apr/2019:11:42:30 +0530] "GET /EEWQ/js/superfish.js HTTP/1.1" 404 991
0:0:0:0:0:0:0:1 - - [05/Apr/2019:11:42:30 +0530] "GET /EEWQ/js/hoverIntent.js HTTP/1.1" 404 995
0:0:0:0:0:0:0:1 - - [05/Apr/2019:11:42:30 +0530] "GET /EEWQ/js/jquery.flexslider-min.js HTTP/1.1" 404 1015
0:0:0:0:0:0:0:1 - - [05/Apr/2019:11:42:30 +0530] "GET /EEWQ/js/modernizr.custom.29473.js HTTP/1.1" 404 1017
0:0:0:0:0:0:0:1 - - [05/Apr/2019:11:42:30 +0530] "GET /EEWQ/js/screen.js HTTP/1.1" 404 985
0:0:0:0:0:0:0:1 - - [05/Apr/2019:11:42:30 +0530] "GET /EEWQ/js/jquery-1.8.0.min.js HTTP/1.1" 404 1005
0:0:0:0:0:0:0:1 - - [05/Apr/2019:11:42:30 +0530] "GET /EEWQ/images/socials/dribbble.png HTTP/1.1" 404 1015
0:0:0:0:0:0:0:1 - - [05/Apr/2019:11:42:30 +0530] "GET /EEWQ/images/socials/google+.png HTTP/1.1" 404 1013
0:0:0:0:0:0:0:1 - - [05/Apr/2019:11:42:30 +0530] "GET /EEWQ/images/socials/linkedin.png HTTP/1.1" 404 1015
0:0:0:0:0:0:0:1 - - [05/Apr/2019:11:42:30 +0530] "GET /EEWQ/images/socials/youtube.png HTTP/1.1" 404 1013
0:0:0:0:0:0:0:1 - - [05/Apr/2019:11:42:30 +0530] "GET /images/rausch.png HTTP/1.1" 404 985
0:0:0:0:0:0:0:1 - - [05/Apr/2019:11:42:30 +0530] "GET /images/navselect.gif HTTP/1.1" 404 991
0:0:0:0:0:0:0:1 - - [05/Apr/2019:11:42:30 +0530] "GET /images/bg/lightpaperfibers.png HTTP/1.1" 404 1011
0:0:0:0:0:0:0:1 - - [05/Apr/2019:11:42:30 +0530] "GET /images/bg/caption1.png HTTP/1.1" 404 995
0:0:0:0:0:0:0:1 - - [05/Apr/2019:11:42:33 +0530] "GET /EEWQ/Universities.html HTTP/1.1" 404 995
0:0:0:0:0:0:0:1 - - [05/Apr/2019:11:42:35 +0530] "GET /EEWQ/images/logo.png HTTP/1.1" 404 991
0:0:0:0:0:0:0:1 - - [05/Apr/2019:11:42:35 +0530] "GET /EEWQ/syd6.jpg HTTP/1.1" 404 977
0:0:0:0:0:0:0:1 - - [05/Apr/2019:11:42:35 +0530] "GET /EEWQ/images/socials/twitter.png HTTP/1.1" 404 1013
0:0:0:0:0:0:0:1 - - [05/Apr/2019:11:42:35 +0530] "GET /EEWQ/js/jquery-1.8.0.min.js HTTP/1.1" 404 1005
0:0:0:0:0:0:0:1 - - [05/Apr/2019:11:42:35 +0530] "GET /EEWQ/js/screen.js HTTP/1.1" 404 985
0:0:0:0:0:0:0:1 - - [05/Apr/2019:11:42:35 +0530] "GET /EEWQ/syd6.jpg HTTP/1.1" 404 977
0:0:0:0:0:0:0:1 - - [05/Apr/2019:11:42:35 +0530] "GET /EEWQ/images/logo.png HTTP/1.1" 404 991
0:0:0:0:0:0:0:1 - - [05/Apr/2019:11:42:35 +0530] "GET /EEWQ/images/socials/facebook.png HTTP/1.1" 404 1015
0:0:0:0:0:0:0:1 - - [05/Apr/2019:11:42:35 +0530] "GET /EEWQ/js/jquery-1.8.0.min.js HTTP/1.1" 404 1005
0:0:0:0:0:0:0:1 - - [05/Apr/2019:11:42:35 +0530] "GET /EEWQ/images/socials/twitter.png HTTP/1.1" 404 1013
0:0:0:0:0:0:0:1 - - [05/Apr/2019:11:42:35 +0530] "GET /EEWQ/js/screen.js HTTP/1.1" 404 985
0:0:0:0:0:0:0:1 - - [05/Apr/2019:11:42:35 +0530] "GET /EEWQ/js/tabs.js HTTP/1.1" 404 981
0:0:0:0:0:0:0:1 - - [05/Apr/2019:11:42:35 +0530] "GET /EEWQ/js/jquery.prettyPhoto.js HTTP/1.1" 404 1009
0:0:0:0:0:0:0:1 - - [05/Apr/2019:11:42:35 +0530] "GET /EEWQ/js/superfish.js HTTP/1.1" 404 991
0:0:0:0:0:0:0:1 - - [05/Apr/2019:11:42:35 +0530] "GET /EEWQ/js/hoverIntent.js HTTP/1.1" 404 995
0:0:0:0:0:0:0:1 - - [05/Apr/2019:11:42:35 +0530] "GET /EEWQ/js/jquery.flexslider-min.js HTTP/1.1" 404 1015
0:0:0:0:0:0:0:1 - - [05/Apr/2019:11:42:35 +0530] "GET /EEWQ/js/modernizr.custom.29473.js HTTP/1.1" 404 1017
0:0:0:0:0:0:0:1 - - [05/Apr/2019:11:42:35 +0530] "GET /EEWQ/images/socials/dribbble.png HTTP/1.1" 404 1015
0:0:0:0:0:0:0:1 - - [05/Apr/2019:11:42:35 +0530] "GET /EEWQ/images/socials/linkedin.png HTTP/1.1" 404 1015
0:0:0:0:0:0:0:1 - - [05/Apr/2019:11:42:35 +0530] "GET /EEWQ/images/socials/youtube.png HTTP/1.1" 404 1013
0:0:0:0:0:0:0:1 - - [05/Apr/2019:11:42:35 +0530] "GET /EEWQ/images/socials/google+.png HTTP/1.1" 404 1013
0:0:0:0:0:0:0:1 - - [05/Apr/2019:11:42:35 +0530] "GET /images/rausch.png HTTP/1.1" 404 985
0:0:0:0:0:0:0:1 - - [05/Apr/2019:11:42:35 +0530] "GET /images/navselect.gif HTTP/1.1" 404 991
0:0:0:0:0:0:0:1 - - [05/Apr/2019:11:42:35 +0530] "GET /images/bg/caption1.png HTTP/1.1" 404 995
0:0:0:0:0:0:0:1 - - [05/Apr/2019:11:42:35 +0530] "GET /images/bg/lightpaperfibers.png HTTP/1.1" 404 1011
